City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kudahuvadhoo,MV,2.6708,72.8944,80.58,80,99,17.0,overcast clouds
1,Yerbogachen,RU,61.2767,108.0108,52.57,83,68,5.95,broken clouds
2,Te Anau,NZ,-45.4167,167.7167,33.28,87,37,0.92,scattered clouds
3,Punta Arenas,CL,-53.15,-70.9167,37.51,87,0,8.05,clear sky
4,Ellisras,ZA,-23.6649,27.7443,51.94,44,0,3.56,clear sky
5,Carutapera,BR,-1.195,-46.02,76.75,85,55,7.65,broken clouds
6,New Norfolk,AU,-42.7826,147.0587,34.72,90,30,2.37,scattered clouds
7,Hermanus,ZA,-34.4187,19.2345,53.91,71,17,12.48,few clouds
8,Rikitea,PF,-23.1203,-134.9692,74.1,68,22,16.33,few clouds
9,Maniitsoq,GL,65.4167,-52.9,45.88,68,46,3.02,scattered clouds
10,Bubaque,GW,11.2833,-15.8333,79.9,83,11,11.72,few clouds
11,Atikokan,CA,48.7555,-91.6216,80.58,28,15,5.91,few clouds
12,Butaritari,KI,3.0707,172.7902,83.41,74,100,16.24,overcast clouds
13,Nanortalik,GL,60.1432,-45.2371,42.84,91,65,7.4,broken clouds
14,Leninskoye,KZ,41.7589,69.3864,80.53,54,0,1.39,clear sky
15,Abbotsford,CA,49.058,-122.2526,84.22,52,20,8.01,haze
16,Tasiilaq,GL,65.6145,-37.6368,38.66,93,100,10.69,moderate rain
17,Swan River,CA,52.1058,-101.2676,85.89,30,43,10.36,scattered clouds
18,Nemuro,JP,43.3236,145.575,57.96,94,100,10.38,overcast clouds
19,Ushuaia,AR,-54.8,-68.3,35.26,87,0,0.0,clear sky
20,Ribeira Grande,PT,38.5167,-28.7,70.52,84,0,10.47,clear sky
21,Bereda,ES,43.2686,-7.5406,56.95,98,0,1.61,clear sky
22,Barrow,US,71.2906,-156.7887,35.62,87,90,9.22,overcast clouds
23,Palmer,US,42.1584,-72.3287,83.08,68,98,1.01,overcast clouds
24,Souillac,MU,-20.5167,57.5167,72.36,68,40,16.11,scattered clouds
25,Castro,BR,-24.7911,-50.0119,50.58,88,0,3.56,clear sky
26,Cape Town,ZA,-33.9258,18.4232,55.89,70,20,1.99,few clouds
27,Airai,TL,-8.9266,125.4092,56.14,82,74,3.51,broken clouds
28,Maketu,NZ,-37.7667,176.45,54.05,75,5,8.5,clear sky
29,Challans,FR,46.8436,-1.8749,58.91,86,100,3.56,overcast clouds
30,Tezu,IN,27.9167,96.1667,78.22,82,100,3.27,overcast clouds
31,Busselton,AU,-33.65,115.3333,43.05,76,54,7.49,broken clouds
32,Port Alfred,ZA,-33.5906,26.891,54.84,66,2,6.26,clear sky
33,Victoria,HK,22.2855,114.1577,85.32,85,89,1.01,overcast clouds
34,Bluff,NZ,-46.6,168.3333,45.77,70,99,26.42,overcast clouds
35,East London,ZA,-33.0153,27.9116,57.06,55,2,7.54,clear sky
36,Kumluca,TR,36.3703,30.2869,84.54,55,36,5.61,scattered clouds
37,Khandbari,NP,27.3747,87.2039,72.1,96,100,3.29,overcast clouds
38,Korla,CN,41.7597,86.1469,73.44,54,1,2.93,clear sky
39,Manggar,ID,-2.8833,108.2667,79.88,85,90,7.54,overcast clouds
40,Constitucion,CL,-35.3333,-72.4167,52.47,85,9,5.95,clear sky
41,Rio Grande,BR,-32.035,-52.0986,57.94,99,45,7.96,scattered clouds
42,Lasa,IT,46.6166,10.7002,60.62,85,27,1.43,scattered clouds
43,Marsabit,KE,2.3284,37.9899,62.71,69,96,21.68,overcast clouds
44,Bhuban,IN,20.8833,85.8333,83.89,80,100,1.21,overcast clouds
45,Bredasdorp,ZA,-34.5322,20.0403,50.29,76,0,6.91,clear sky
46,Saint George,US,37.1041,-113.5841,115.79,12,1,1.01,clear sky
47,Ahipara,NZ,-35.1667,173.1667,56.84,65,99,7.2,overcast clouds
48,Dikson,RU,73.5069,80.5464,33.31,92,100,31.03,overcast clouds
49,Sitka,US,57.0531,-135.33,58.75,68,75,5.26,broken clouds
50,Opuwo,NA,-18.0607,13.84,61.3,26,0,6.26,clear sky
51,Karratha,AU,-20.7377,116.8463,63.57,56,2,8.5,clear sky
52,Kahului,US,20.8947,-156.47,80.83,75,44,15.01,scattered clouds
53,Les Cayes,HT,18.2,-73.75,80.53,79,77,6.31,broken clouds
54,Beyneu,KZ,45.3167,55.2,72.14,42,36,18.43,scattered clouds
55,Hambantota,LK,6.1241,81.1185,75.54,100,75,13.8,shower rain
56,Provideniya,RU,64.3833,-173.3,51.48,68,97,4.54,overcast clouds
57,Puerto Madero,MX,14.7208,-92.4215,85.01,71,61,6.26,broken clouds
58,Grindavik,IS,63.8424,-22.4338,55.56,100,90,19.57,light intensity drizzle
59,Atuona,PF,-9.8,-139.0333,77.72,75,54,20.58,broken clouds
60,Hami,CN,42.8,93.45,70.11,73,100,17.16,moderate rain
61,Dingle,PH,10.9995,122.6711,76.64,90,100,4.83,heavy intensity rain
62,Namatanai,PG,-3.6667,152.4333,81.18,77,43,4.94,scattered clouds
63,Khatanga,RU,71.9667,102.5,48.18,84,100,20.13,moderate rain
64,Emerald,AU,-23.5333,148.1667,52.99,54,0,0.0,clear sky
65,Vao,NC,-22.6667,167.4833,70.23,65,74,13.71,broken clouds
66,Merauke,ID,-8.4667,140.3333,77.31,88,78,11.21,broken clouds
67,Qaanaaq,GL,77.484,-69.3632,39.34,81,40,3.27,scattered clouds
68,Praia,CV,14.9215,-23.5087,73.94,83,40,17.27,scattered clouds
69,Kodiak,US,57.79,-152.4072,51.31,76,90,13.8,light rain
70,Hornostayivka,UA,47.0078,33.729,75.63,62,0,12.5,clear sky
71,Hilo,US,19.7297,-155.09,80.8,73,27,7.0,scattered clouds
72,Kawalu,ID,-7.3817,108.2082,71.11,97,75,1.59,broken clouds
73,Lima,PE,-12.0432,-77.0282,62.85,77,90,5.75,overcast clouds
