City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rawson,AR,2021-07-09 21:45:46,-43.3002,-65.1023,52.61,39,75,18.61,broken clouds
1,Cape Town,ZA,2021-07-09 21:42:59,-33.9258,18.4232,55.89,69,20,1.99,few clouds
2,Albany,US,2021-07-09 21:45:47,42.6001,-73.9662,79.48,86,46,5.5,scattered clouds
3,Tukrah,LY,2021-07-09 21:45:47,32.5341,20.5791,78.93,81,0,4.38,clear sky
4,Black River,JM,2021-07-09 21:45:47,18.0264,-77.8487,87.8,63,14,14.88,few clouds
5,Butaritari,KI,2021-07-09 21:45:48,3.0707,172.7902,83.41,74,100,16.24,overcast clouds
6,Puerto Suarez,BO,2021-07-09 21:45:48,-18.95,-57.8,89.96,58,0,4.61,clear sky
7,Tikapur,NP,2021-07-09 21:45:48,28.5,81.1333,80.58,81,20,5.44,few clouds
8,Narsaq,GL,2021-07-09 21:45:49,60.9167,-46.05,52.02,87,62,2.13,broken clouds
9,Te Anau,NZ,2021-07-09 21:45:49,-45.4167,167.7167,33.28,87,37,0.92,scattered clouds
10,Jamestown,US,2021-07-09 21:45:49,42.097,-79.2353,74.08,82,90,10.0,overcast clouds
11,Ribeira Grande,PT,2021-07-09 21:45:50,38.5167,-28.7,70.52,84,0,10.47,clear sky
12,Mataura,NZ,2021-07-09 21:45:50,-46.1927,168.8643,38.55,96,100,8.59,overcast clouds
13,Ushuaia,AR,2021-07-09 21:43:18,-54.8,-68.3,35.26,87,0,0.0,clear sky
14,Kapaa,US,2021-07-09 21:42:08,22.0752,-159.319,84.52,80,40,3.0,scattered clouds
15,Sabha,LY,2021-07-09 21:45:51,27.0377,14.4283,86.43,24,0,11.32,clear sky
16,Port Lincoln,AU,2021-07-09 21:45:51,-34.7333,135.8667,51.55,82,100,7.94,overcast clouds
17,Hermanus,ZA,2021-07-09 21:45:51,-34.4187,19.2345,53.91,71,17,12.48,few clouds
18,Hobart,AU,2021-07-09 21:45:52,-42.8794,147.3294,35.06,92,20,3.0,few clouds
19,Saskylakh,RU,2021-07-09 21:45:52,71.9167,114.0833,45.63,54,100,17.81,overcast clouds
20,Dikson,RU,2021-07-09 21:45:52,73.5069,80.5464,33.31,92,100,31.03,overcast clouds
21,Bonthe,SL,2021-07-09 21:45:53,7.5264,-12.505,76.53,87,30,5.3,light rain
22,Pisco,PE,2021-07-09 21:45:53,-13.7,-76.2167,68.02,77,0,9.22,clear sky
23,Tateyama,JP,2021-07-09 21:45:53,34.9833,139.8667,80.02,93,90,21.36,overcast clouds
24,Cidreira,BR,2021-07-09 21:45:53,-30.1811,-50.2056,60.57,94,0,12.93,clear sky
25,Tasiilaq,GL,2021-07-09 21:45:54,65.6145,-37.6368,46.56,93,100,10.69,moderate rain
26,Abha,SA,2021-07-09 21:43:06,18.2164,42.5053,75.45,15,0,0.0,clear sky
27,Severka,RU,2021-07-09 21:45:54,56.8688,60.3015,56.64,68,77,4.12,broken clouds
28,Punta Arenas,CL,2021-07-09 21:45:54,-53.15,-70.9167,37.51,87,0,8.05,clear sky
29,Avarua,CK,2021-07-09 21:45:55,-21.2078,-159.775,78.85,73,75,3.44,broken clouds
30,Bethel,US,2021-07-09 21:45:55,41.3712,-73.414,84.72,77,20,6.91,few clouds
31,Kodiak,US,2021-07-09 21:45:55,57.79,-152.4072,53.11,66,90,12.66,light rain
32,Qaanaaq,GL,2021-07-09 21:45:56,77.484,-69.3632,39.34,81,40,3.27,scattered clouds
33,Lulea,SE,2021-07-09 21:41:11,65.5842,22.1547,62.67,82,61,3.44,broken clouds
34,Rikitea,PF,2021-07-09 21:45:57,-23.1203,-134.9692,74.1,68,22,16.33,few clouds
35,Maragogi,BR,2021-07-09 21:45:57,-9.0122,-35.2225,74.52,86,19,7.02,few clouds
36,Port Elizabeth,ZA,2021-07-09 21:45:57,-33.918,25.5701,46.69,81,40,4.61,scattered clouds
37,San Quintin,MX,2021-07-09 21:45:58,30.4833,-115.95,75.56,63,15,11.01,few clouds
38,Lasa,IT,2021-07-09 21:45:58,46.6166,10.7002,65.28,85,27,1.43,scattered clouds
39,Ponta Do Sol,PT,2021-07-09 21:45:58,32.6667,-17.1,72.12,59,1,6.89,clear sky
40,General Roca,AR,2021-07-09 21:45:59,-39.0333,-67.5833,57.6,36,7,25.43,light rain
41,Balabac,PH,2021-07-09 21:45:59,7.9868,117.0645,80.24,79,100,1.74,overcast clouds
42,Souillac,MU,2021-07-09 21:45:59,-20.5167,57.5167,72.36,68,40,16.11,scattered clouds
43,Udachnyy,RU,2021-07-09 21:46:00,66.4167,112.4,45.7,61,78,9.26,broken clouds
44,Olafsvik,IS,2021-07-09 21:46:00,64.8945,-23.7142,52.83,93,98,13.67,overcast clouds
45,Tucurui,BR,2021-07-09 21:46:00,-3.7661,-49.6725,81.19,60,84,2.77,broken clouds
46,Varhaug,NO,2021-07-09 21:46:01,58.6147,5.6457,58.48,93,20,8.55,few clouds
47,Pitimbu,BR,2021-07-09 21:46:01,-7.4706,-34.8086,77.59,81,51,9.6,broken clouds
48,Cabo San Lucas,MX,2021-07-09 21:42:31,22.8909,-109.9124,95.81,71,75,10.63,broken clouds
49,Victoria,HK,2021-07-09 21:45:12,22.2855,114.1577,85.32,85,89,1.01,overcast clouds
50,Gazli,UZ,2021-07-09 21:46:02,40.1333,63.45,80.89,17,0,7.4,clear sky
51,Caravelas,BR,2021-07-09 21:46:02,-17.7125,-39.2481,70.05,74,6,6.33,clear sky
52,Mananjary,MG,2021-07-09 21:46:02,-21.2167,48.3333,69.33,86,69,3.8,light rain
53,Dois Corregos,BR,2021-07-09 21:46:03,-22.3661,-48.3803,72.75,41,0,4.34,clear sky
54,Atuona,PF,2021-07-09 21:46:03,-9.8,-139.0333,77.72,75,54,20.58,broken clouds
55,Bredasdorp,ZA,2021-07-09 21:46:03,-34.5322,20.0403,50.29,76,0,6.91,clear sky
56,Auchel,FR,2021-07-09 21:46:04,50.5034,2.4735,62.01,92,68,3.94,broken clouds
57,Banda Aceh,ID,2021-07-09 21:43:14,5.5577,95.3222,78.37,86,99,13.94,overcast clouds
58,Saldanha,ZA,2021-07-09 21:43:58,-33.0117,17.9442,51.85,67,99,5.1,overcast clouds
59,Burnie,AU,2021-07-09 21:46:04,-41.0667,145.9167,41.92,77,31,4.14,scattered clouds
60,Taoudenni,ML,2021-07-09 21:46:05,22.6783,-3.9836,97.88,32,100,20.04,overcast clouds
61,Kaitangata,NZ,2021-07-09 21:46:05,-46.2817,169.8464,41.94,67,72,15.82,broken clouds
62,Busselton,AU,2021-07-09 21:46:05,-33.65,115.3333,43.05,76,54,7.49,broken clouds
63,Zenzeli,RU,2021-07-09 21:46:06,45.9241,47.0474,79.29,25,36,5.57,scattered clouds
