City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sovetskiy,RU,2021-07-07 22:49:21,61.3614,63.5842,61.36,75,34,4.29
1,Krasnoselkup,RU,2021-07-07 22:49:22,65.7,82.4667,53.69,75,47,9.71
2,Toowoomba,AU,2021-07-07 22:49:22,-27.55,151.9667,52.25,75,22,3.0
3,Vaini,TO,2021-07-07 22:49:22,-21.2,-175.2,77.16,69,20,14.97
4,Alofi,NU,2021-07-07 22:49:23,-19.0595,-169.9187,76.89,69,40,14.97
5,Palu,ID,2021-07-07 22:49:23,-0.8917,119.8707,75.58,93,92,2.39
6,Katsuura,JP,2021-07-07 22:49:23,35.1333,140.3,77.11,91,100,9.1
7,New Norfolk,AU,2021-07-07 22:49:24,-42.7826,147.0587,37.76,79,97,1.72
8,Acarau,BR,2021-07-07 22:49:24,-2.8856,-40.12,78.21,79,43,9.42
9,Kahului,US,2021-07-07 22:48:29,20.8947,-156.47,85.26,71,40,20.71
10,Gikongoro,RW,2021-07-07 22:49:25,-2.464,29.5739,60.39,68,90,2.93
11,Mount Pleasant,US,2021-07-07 22:49:25,32.7941,-79.8626,83.01,86,75,3.0
12,Necochea,AR,2021-07-07 22:49:25,-38.5473,-58.7368,51.66,79,1,2.57
13,Luderitz,NA,2021-07-07 22:49:26,-26.6481,15.1594,55.78,79,0,6.98
14,Torbay,CA,2021-07-07 22:49:26,47.6666,-52.7314,62.67,92,98,20.0
15,Beidao,CN,2021-07-07 22:49:26,34.5686,105.8933,70.38,80,6,1.5
16,Beringovskiy,RU,2021-07-07 22:49:26,63.05,179.3167,43.59,82,95,7.56
17,Sao Joao Da Barra,BR,2021-07-07 22:49:27,-21.6403,-41.0511,66.13,88,1,8.9
18,Saint George,US,2021-07-07 22:49:27,37.1041,-113.5841,113.38,10,1,1.01
19,Mataura,NZ,2021-07-07 22:49:27,-46.1927,168.8643,39.0,91,86,8.72
